32.83,-97.3,12.9,28832,-55.7,-87.7,1,0.01,232,102,753.7,753.9,753.7
32.83,-97.3,12.2,29186,-57.3,-89.3,1,0.01,232,108,760.2,760.3,760.2
32.83,-97.3,11.4,29616,-56.1,-88.1,1,0.01,231,115,779.4,779.5,779.4
32.83,-97.3,10.5,30144,-51.7,-84.7,1,0.03,230,123,814.0,814.4,814.1
32.83,-97.3,10.4,30175,-51.7,-84.7,1,0.03,230,123,815.0,815.4,815.0
32.83,-97.3,10.0,30480,-52.1,-85.1,1,0.03,230,123,824.7,825.1,824.7
32.83,-97.3,10.0,30460,-52.1,-85.1,1,0.03,230,123,824.0,824.4,824.0
32.83,-97.3,9.9,30525,-52.1,-85.1,1,0.03,230,123,826.4,826.7,826.4
32.83,-97.3,9.5,30793,-51.3,-84.3,1,0.03,229,125,839.2,839.6,839.2
32.83,-97.3,9.3,30931,-49.7,-83.7,1,0.04,229,126,850.4,850.9,850.4
32.83,-97.3,9.1,31073,-50.7,-84.7,1,0.03,229,126,851.9,852.3,851.9
32.83,-97.3,8.7,31368,-47.9,-82.9,1,0.05,228,128,873.7,874.4,873.8
32.83,-97.3,8.0,31921,-48.3,-82.3,1,0.06,227,131,893.3,894.1,893.4
32.83,-97.3,7.8,32089,-46.3,-81.3,1,0.07,227,132,907.8,908.8,907.9
32.83,-97.3,7.2,32621,-45.7,-80.7,1,0.08,225,135,931.3,932.4,931.3
32.83,-97.3,7.0,32810,-43.3,-79.3,1,0.11,225,136,948.7,950.2,948.8
32.83,-97.3,6.9,32918,-44.0,-79.8,1,0.10,225,136,950.2,951.6,950.3
32.83,-97.3,6.9,32906,-43.9,-79.7,1,0.10,225,136,950.0,951.5,950.1
32.83,-97.3,6.6,33223,-46.0,-81.1,1,0.08,220,135,954.4,955.6,954.4
